Preprocessing Method,Num of Features,Encoding Method,Convolutional Layer Architecture,Num of Params,Pooling Architecture,Num of Params,Convs per Layer,Special Pooling,Pooling Direction,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Confusion Matrix
PCA,8,Angle Embedding,3,2,3,2,2,No,Top half,tensor(0.7530),0.869653767820774,0.8438735177865613,0.8565697091273822,0.483580594509719,0.8703199259307427,"[[18, 128], [158, 854]]"
PCA,8,Angle Embedding,4,2,1,3,1,No,Top half,tensor(0.7418),0.8686659772492245,0.8300395256916996,0.8489135927235979,0.4800882559965347,0.8695590473812229,"[[19, 127], [172, 840]]"
PCA,8,Angle Embedding,4,2,1,3,1,No,Top half,tensor(0.7530),0.8689024390243902,0.8448616600790514,0.8567134268537074,0.4806500081217175,0.8696809408459953,"[[17, 129], [157, 855]]"
PCA,8,Angle Embedding,4,2,1,3,1,No,Top half,tensor(0.7608),0.871587462082912,0.8517786561264822,0.8615692153923038,0.490957821213926,0.8719332759061508,"[[19, 127], [150, 862]]"
PCA,8,Angle Embedding,4,2,1,3,2,No,Top half,tensor(0.7323),0.8671548117154811,0.8191699604743083,0.8424796747967481,0.47465347338783914,0.8683782609209786,"[[19, 127], [183, 829]]"
PCA,8,Angle Embedding,4,2,1,3,2,No,Top half,tensor(0.7427),0.868801652892562,0.8310276679841897,0.8494949494949494,0.48058232714277976,0.8696666053264985,"[[19, 127], [171, 841]]"
PCA,8,Angle Embedding,4,2,1,3,2,No,Top half,tensor(0.7496),0.869120654396728,0.8399209486166008,0.8542713567839196,0.4816043099247388,0.8698890175601754,"[[18, 128], [162, 850]]"
PCA,8,Angle Embedding,4,2,2,9,1,No,Top half,tensor(0.7556),0.8708036622583927,0.8458498023715415,0.8581453634085213,0.4879933943364556,0.8712841315324118,"[[19, 127], [156, 856]]"
PCA,8,Angle Embedding,4,2,2,9,1,No,Top half,tensor(0.7591),0.8713272543059777,0.849802371541502,0.8604302151075538,0.4899696789214359,0.8717167615711949,"[[19, 127], [152, 860]]"
PCA,8,Angle Embedding,4,2,2,9,1,No,Top half,tensor(0.7582),0.8696969696969697,0.8507905138339921,0.8601398601398602,0.4836144349991879,0.870327168343204,"[[17, 129], [151, 861]]"
PCA,8,Angle Embedding,4,2,2,9,2,No,Top half,tensor(0.7245),0.8666666666666667,0.8092885375494071,0.8369954011241697,0.47313741945963506,0.868050065876153,"[[20, 126], [193, 819]]"
PCA,8,Angle Embedding,4,2,2,9,2,No,Top half,tensor(0.7565),0.8701825557809331,0.8478260869565217,0.8588588588588589,0.48555687909469925,0.8707513813955565,"[[18, 128], [154, 858]]"
PCA,8,Angle Embedding,4,2,2,9,2,No,Top half,tensor(0.7651),0.8722334004024145,0.8567193675889329,0.8644067796610169,0.4934281769451513,0.872475136647295,"[[19, 127], [145, 867]]"
PCA,8,Angle Embedding,4,2,3,2,1,No,Top half,tensor(0.7513),0.8671399594320487,0.8448616600790514,0.8558558558558559,0.4738006930532243,0.8681918894117542,"[[15, 131], [157, 855]]"
PCA,8,Angle Embedding,4,2,3,2,1,No,Top half,tensor(0.7599),0.8684738955823293,0.8547430830039525,0.8615537848605578,0.4787414045156749,0.8692650601998401,"[[15, 131], [147, 865]]"
PCA,8,Angle Embedding,4,2,3,2,1,No,Top half,tensor(0.7599),0.8684738955823293,0.8547430830039525,0.8615537848605578,0.4787414045156749,0.8692650601998401,"[[15, 131], [147, 865]]"
PCA,8,Angle Embedding,4,2,3,2,2,No,Top half,tensor(0.7418),0.8686659772492245,0.8300395256916996,0.8489135927235979,0.4800882559965347,0.8695590473812229,"[[19, 127], [172, 840]]"
PCA,8,Angle Embedding,4,2,3,2,2,No,Top half,tensor(0.7522),0.8687690742624619,0.8438735177865613,0.8561403508771931,0.48015593697547243,0.8695733564655268,"[[17, 129], [158, 854]]"
PCA,8,Angle Embedding,4,2,3,2,2,No,Top half,tensor(0.7591),0.8690835850956697,0.8527667984189723,0.8608478802992517,0.4811779197574313,0.8697957473186169,"[[16, 130], [149, 863]]"
PCA,8,Angle Embedding,5,4,1,3,1,No,Top half,tensor(0.7599),0.8722109533468559,0.849802371541502,0.8608608608608608,0.4933943364556824,0.8724677311118622,"[[20, 126], [152, 860]]"
PCA,8,Angle Embedding,5,4,1,3,1,No,Top half,tensor(0.7556),0.8685540950455005,0.8488142292490118,0.8585707146426786,0.4792016351724511,0.8693654270787258,"[[16, 130], [153, 859]]"
PCA,8,Angle Embedding,5,4,1,3,1,No,Top half,tensor(0.7625),0.8696088264794383,0.8567193675889329,0.8631159780985564,0.48315420434241163,0.8702266133358124,"[[16, 130], [145, 867]]"
PCA,8,Angle Embedding,5,4,1,3,2,No,Top half,tensor(0.7314),0.870899470899471,0.8132411067193676,0.8410832907511497,0.4888123341816016,0.871463684788758,"[[24, 122], [189, 823]]"
PCA,8,Angle Embedding,5,4,1,3,2,No,Top half,tensor(0.7444),0.8713692946058091,0.8300395256916996,0.8502024291497976,0.4903622285992745,0.8718029076376766,"[[22, 124], [172, 840]]"
PCA,8,Angle Embedding,5,4,1,3,2,No,Top half,tensor(0.7478),0.8703703703703703,0.8359683794466403,0.8528225806451613,0.48647734040825164,0.8709527125273915,"[[20, 126], [166, 846]]"
PCA,8,Angle Embedding,5,4,2,9,1,No,Top half,tensor(0.7617),0.8709677419354839,0.8537549407114624,0.8622754491017963,0.4885213059721696,0.871399575917449,"[[18, 128], [148, 864]]"
PCA,8,Angle Embedding,5,4,2,9,1,No,Top half,tensor(0.7617),0.8702213279678068,0.8547430830039525,0.8624127617148555,0.48559071958416805,0.870758665944344,"[[17, 129], [147, 865]]"
PCA,8,Angle Embedding,5,4,2,9,1,No,Top half,tensor(0.7608),0.8693467336683417,0.8547430830039525,0.8619830592924763,0.48216606204992146,0.8700111125164416,"[[16, 130], [147, 865]]"
PCA,8,Angle Embedding,5,4,2,9,2,No,Top half,tensor(0.7625),0.8703517587939699,0.8557312252964426,0.8629795714997508,0.4860847907304131,0.8708666243146485,"[[17, 129], [146, 866]]"
PCA,8,Angle Embedding,5,4,2,9,2,No,Top half,tensor(0.7651),0.8722334004024145,0.8567193675889329,0.8644067796610169,0.4934281769451513,0.872475136647295,"[[19, 127], [145, 867]]"
PCA,8,Angle Embedding,5,4,2,9,2,No,Top half,tensor(0.7668),0.8732394366197183,0.857707509881423,0.8654037886340976,0.497346905625643,0.8733363543195728,"[[20, 126], [144, 868]]"
PCA,8,Angle Embedding,5,4,3,2,1,No,Top half,tensor(0.7202),0.8714902807775378,0.7974308300395256,0.8328173374613003,0.49118116844442034,0.8719825789389961,"[[27, 119], [205, 807]]"
PCA,8,Angle Embedding,5,4,3,2,1,No,Top half,tensor(0.7617),0.8724696356275303,0.8517786561264822,0.862,0.4943824787481726,0.8726846925024561,"[[20, 126], [150, 862]]"
PCA,8,Angle Embedding,5,4,3,2,1,No,Top half,tensor(0.7694),0.8721278721278721,0.8626482213438735,0.8673621460506707,0.49296794628837515,0.8723740999898612,"[[18, 128], [139, 873]]"
PCA,8,Angle Embedding,5,4,3,2,2,No,Top half,tensor(0.7470),0.8687179487179487,0.8369565217391305,0.852541519879215,0.4801220964860036,0.869566199363451,"[[18, 128], [165, 847]]"
PCA,8,Angle Embedding,5,4,3,2,2,No,Top half,tensor(0.7487),0.8682328907048008,0.8399209486166008,0.8538422903063788,0.4781796523904922,0.8691433662379046,"[[17, 129], [162, 850]]"
PCA,8,Angle Embedding,5,4,3,2,2,No,Top half,tensor(0.7522),0.8687690742624619,0.8438735177865613,0.8561403508771931,0.48015593697547243,0.8695733564655268,"[[17, 129], [158, 854]]"
PCA,8,Angle Embedding,6,6,1,3,1,No,Top half,tensor(0.7556),0.8761609907120743,0.8389328063241107,0.8571428571428572,0.5085074990524664,0.875800129645165,"[[26, 120], [163, 849]]"
PCA,8,Angle Embedding,6,6,1,3,1,No,Top half,tensor(0.7634),0.875,0.8507905138339921,0.8627254509018035,0.5041623802046673,0.8748389362195963,"[[23, 123], [151, 861]]"
